NI;CI;EDAD;SEXO;PALABRAS
2;5;12;2;porrista, modelo, cantante, bailarina, influencer, dibujar, crear, diseñar, pasear, correr, hacer-ejercicio, jugar-videojuegos, pasear-perro, dormir, comer, conocer-gente, conocer-lugar, explorar, viajar, inspirarme, hacer-yogur, ir-mesero, ir-playa, nadar, comprar-ropa, maquillarme, cuidarme, salir-darío, salir-papás, senderismo, terapia-energía, escalar, actividad-extrema, salir-bici.
2;6;12;2;chaparrito, inteligente, bonito, amable, gracioso, enojón, berrinchuda, grosero, distraído, arriesgado, extrovertido, reflexivo, social, viajero, amiguero, raro, pensativo, torpe, anda-calle, prueba-cosa-nueva, estar-redes-sociales, cuidarme, cuidar-gente.
3;1;12;2;comercio, globalización, empleo, educación, departamento, sobrepoblación, contaminación, adulto, niño, niña, edificio, puente, calle, hospital, felicidad, estrés, automóvil, Venecia, los-ángeles, saltillo, nuevo-león, acuña. Nueva-york, ohio, camioneta, luz, gobierno, celular, tecnología, ropa, costa, turismo.
3;2;12;2;maestro, ingeniero, doctora, veterinaria, enfermera, cocinera, actriz, cantante, bailarín, futbolista, voleibolista, cuentacuentos, obrero, basquetbolista, tenista, golfista, nadador, empresario, ingeniero-eléctrico, comerciante, electricista, fundidor, cirujana.
3;4;12;2;empresaria, actriz, cantante, bailarina, cirujana, doctora, voleibolista, cuentacuentos, ingeniera, artista, fotógrafa, maestra.
3;3;12;2;departamento, edificio, internet, sofá, silla, alacena, sala, piso, ciudad, campo, mansión, lujosa, sencilla, puerta, baño, televisión, estancia, cama, ventana, espaciosa, chica, alta, roja, blanca, azul, colorida, limpia, sucia, oscura, brillante, panel-solar.
3;5;12;2;leer, estudiar, aprender, enseñar, jugar, diseñar, inventar, pastorear, reír, hablar, gritar, comer, dormir, ver-tele, jugar-videojuego, voleibol, ayudar, agradecer, descubrir, trabajar, escribir, observar, crítica-arte, tomar-foto.
3;6;12;2;amable, feliz, enojón, triste, extrovertido, a-veces-serio, platicador, dormilón, hiperactivo, inseguro, dudoso, risueño, raro, cansado, curioso, humilde, loco, amigable, bonito, alto.
4;1;12;2;calle, carro, semáforo, tienda, escuela, casa, alumbrado, parque, avión, metro, edificio, centro-comercial.
4;2;12;2;doctor, arquitecto, ingeniero, diseñador, cirujano, cardiólogo, neurólogo, pediatra, artista, músico, bailarían, abogado, deportista, maestro, enfermero, informático, juez, dentista, psicóloga, psiquiatra, ginecóloga.
4;4;12;2;cardióloga, neuróloga, traumatóloga, ingeniera, abogada, arquitecta, diseñadora-industrial, pediatra.
4;3;12;2;grande, casa-david, terraza, sótano, cuarto-grande, bonita, en-fraccionamiento, cochera, cuarto-juegos, estudio, perros, sala, comedor, cocina, tina, sala-videojuegos, jacuzzi, decoración, closet-grande, patio-juegos, sala-televisión.
4;5;12;2;bailar, cantar, dormir, cocinar, comprar, caminar, pasear-perro, jugar, ver-serie, escuchar-música, ejercicio, gimnasia, escribir, leer, jugar-videojuegos, ver-redes-sociales, hablar-amigo, salir, reunirme-amigo, correr, ir-bici, patinar, cuidar-perro, plantar-árbol, decorar, dibujar, colorear.
4;6;12;2;alto, delgado, risueño, divertido, comprensivo, amable, estudioso, recíproco, justo, feliz, alegre, hiperactivo, creativo, glotón, pensativo, agradecido, responsable, enojón, caprichoso, dedicado.
5;1;12;2;calle, casa-grande, población, carro, escuela, universidad, centro-comercial, centro-deportivo, estadio, hospital, centro-trabajo, fábrica, parque, recreativo, asilo, empresa, área-verde, monterrey.
5;2;12;2;doctor, maestra, cirujano, veterinaria, ingeniero, arquitecto, nutriólogo, dermatólogo, neurólogo, diseñadora, bailarina, músico, chef, militar, policía, abogado, químico, biólogo, crítico.
5;4;12;2;doctora, cirujana-plástica, diseñadora-gráfica, nutrióloga, aparatología-estética, deportista-alto-rendimiento, neuróloga, música, especialista-en-piano.
5;3;12;2;grande, patrio-grande, pasto, dos-pisos, alberca, privada, bonita, ordenada, buena-fachada, balcón, cochera, oficina, cocina, cancha, gimnasio, closet-grande, sala, recámara, baño-grande, silla, puerta, ventana.
5;5;12;2;deporte, cocinar, jugar, viajar, investigar, correr, ir-campamento, interactuar, conocer, descansar, visitar-familia.
5;6;12;2;físico-atractivo, deportista, celosa, sueño-despierta, fría-seca-depende, no-muestro-sentimiento, amiga-hombres, no-uso-vestido, juego-deporte-hombre, interactúo-abiertamente, extrovertida, me-importan-los-demás, doy-lo-que-recibo.
6;1;12;2;casa, edificio, persona, playa, cultura, taxi, naturaleza, escuela, fábrica, trabajo, banca, colonia, calle, número, local, animal, código, centro, museo, iglesia, banqueta, ropa.
6;2;12;2;doctor, gastronomía, licenciatura, fisicoterapeuta, veterinario, nutriólogo, pediatra, adontología, psicología, ingeniería, mestra, criminólogo, terapeuta.
6;4;12;2;doctorado, cerillito, veterinaria, guardería, maestra, fábrica, ingeniería, vender-ropa, comida.
6;3;12;2;cama, Dubaí, alberca, grande, negra, carro, cama-grande, televisión, utensilio, comida, cuarto, mascota, familia, cochera, jardín, baño, piso, techo, cocina, sala, comedor, closet, todo-negro.
6;5;12;2;parra, dormir, comer, gym, música, cocinar, jugar, televisión, plantar, cuidar, leer.
6;6;12;2;sociable, tóxica, celosa, pensamiento, amable, fría, miedosa, perfecta, real, sincera.
7;1;13;2;carro, camión, edificio, micro-población, teatro, parque, plaza, smog, basura, contaminación, supermercado, escuela, luz, tienda, calle, casa-grande, departamento, restaurante, museo, circo.
7;2;13;2;bombero, maestra, doctora, enfermera, neuróloga, cardióloga, aeronáutica, piloto, policía, secretaria, veterinario, licenciada, guía-turismo, abogada, negocios, ingeniero, arquitecto, músico, militar, agricultor, chef, nutrióloga.
7;4;13;2;neurología, neonatología, gastronomía, cardiología, violinista, pianista, nutrióloga, otorrinolaringóloga, pediatra, oncóloga, ginecóloga, anestesióloga, traumatóloga, psicóloga, psiquiatra.
7;3;13;2;grande, pequeña, en-ciudad, en-campo, en-bosque, dos-pisos, tres-pisos, un-piso, sótano, balcón, patio, alberca, animales, madera, rústica, elegante, plantas, cocina, espejo, ventana.
7;5;13;2;tocar-violín, pintar, bailar, gimnasio, yoga, amigos, televisión, usar-celular, familia, jugar-mascota, deporte, leer, cocinar, ir-parque.
7;6;13;2;feliz, tranquilo, sé-escuchar, amigable, trabajador, evito-problema, no-preocupo-tanto, confío-en-mí, a-veces-me-deprimo, activo, aventurero, atrevido, viajero.
8;1;12;2;modernidad, edificio, automóvil, rascacielos, tráfico, semáforo, departamento, oficina, ruido, calle, baqueta, persona, casa, esmog.
8;2;12;2;bombero, policía, diseñador, astronauta, cineasta, abogado, profesor, director, productor, actor, bailarín, cantante, albañil, pintor, entrenador, arquitecto, médico, veterinario, decorador, animador, dibujante, enfermero, escritor, poeta, ingeniero, investigador, militar.
8;4;12;2;diseñadora, arquitecta, dibujante, animadora, cantante, pintora, mesera.
8;3;12;2;amplia, colorida, bonita, alegre, sofisticada, segura, iluminada, jardín, cómoda, acogedora, agradable, estable.
8;5;12;2;cantar, pintar, dibujar, escribir, decorar, bailar, patinar, luchar, aprender-idioma, ilustrar, colorear, viajar, componer, escuchar-música, comprar, inventar-historia.
8;6;12;2;ansioso, alegre, infantil, prudente, honesto, peleonero, enojón, risueño, infantil, disperso, distraído, olvidadiza, friolento, inquieto, creativo, impaciente.
9;1;12;2;farol, carretera, carro, edificio, tienda, mercado, paloma, gente, torre, contaminación, fábrica, parís, londres, cine, película, teatro, parque-público, camión, internet, cable, noche-sin-estrella.
9;2;12;2;maestro, mujer, lentes, cuaderno, arquitecto, casco, plano, mapa, carrera, estudio, inteligencia, pasión, entrega, deseado, chef, cineasta, productor, estudio, set, foro, sitio web, plataforma, alumno, abogado, ley, fiscal, justicia, deportista.
9;4;12;2;maestra-mitología, mesera, cantante, dibujante, youtuber, diseñadora, compositora, cantautora, escritora, poeta, chef, actriz, felicidad, cajera, abogada, trotamundos, asistente-ejecutiva, directora-revista, consejera, psicóloga, entrenadora, programadora, policía, bombero, una-vengadora, personal-equinoterapia, ahora-sobrevivir, fotógrafa.
9;3;12;2;grande, blanca, limpia, felicidad, jardín, cielo-azul, noche-sin-estrella, familia, mascota, donde-cantar-canción, donde-grabar-canción, azotea, terraza, servicio-público-pagado, hipoteca-pagada, televisión, granero, lugar-guardar-cosas, aire-libre, naturaleza, ver-película, jugar-videojuegos, juego-mesa, cocina, comedor, sala-convivencia.
9;5;12;2;dibujar, cantar, actuar, ir-comercio, evento-videojuegos, otakufest, hacer-cover, cabalgar, pintar, leer, escribir, llorar, reír, amigo, familia, pinterest, escribir-wattpad, elenco-cine, caminar, dormir-bajo-estrellas, trotamundos, comprar-casas-ver-si-funcionan, grabar-video, editar-video, tomar-foto, hablar-con-frases, ser-sarcástica, comer, dormir, jugar-tenis-papá, ver-serie-mamá, jugar-scrable-mamá, practicar-mamá, agradecer-por-mamá-papá.
9;6;12;2;creativo, ambicioso, sarcástico, egoísta, egocentrista, minimalista, observador, cínico, soñador, impulsivo, carácter-fuerte, demasiado-sensible, bipolar, nervioso.
10;1;12;2;edificio, persona, carro, trabajo, escuela, hospital, restaurante, calle, semáforo, ingeniero, estudiante, médico, mall, parque, supermercado, heladería, psicólogo.
10;2;12;2;ingeniero, médico, conserje, químico, matemático, futbolista, bombero, veterinario, astronauta, psicólogo, poeta, cantante, actor, actriz, modelo, niñera, fisicoculturista, estudiante, dermatología, maestría.
10;4;12;2;ingeniera, médica, química, bombera, astronauta, poeta, cantante, conserje, actriz, modelo, dermatóloga, veterinaria, niñera, psicóloga, maestra.
10;3;12;2; grande, bonita, cálida, acogedora, dos-pisos, hermosa, escaleras, adornada, cuidada, pasto, patio.
10;5;12;2; cantante, gimnasta, gimnasio, yoga, modelo, mesera.
10;6;12;2;risueño, feliz, enojón, criticón, peleonero, loco, alegre, amable, pacífico, precipitado, inquieto, ansioso, nervioso, inteligente, deportista, educado.
11;1;12;2;cafetería, edificio, carro, tráfico, trabajdor, local, hospital, bar, cine, centro-comercial, restaurante, escuela.
11;2;12;2;soldado, profesor, arquitecto, doctor, abogado, enfermero, electricista, plomero, empresario, chef, camarero, instructor.
11;4;12;2;69-infanteria, ingeniero, chef, camarero, tiendita, dueño-bar, actor.
11;3;12;2;amplia, jardín, seguridad, arma, tres-habitaciones, súper-estufa, horno, alacena, sótano, ático, isla, tele-plana, bocina, computadora, balcón, mesa-mármol, esposa, perro, gato, sirvienta.
11;5;12;2;familia, conduciendo, estar-perro, visitar-mamá, ver-película, jugar-fut, apoyando-causa.
11;6;12;2;fiel, hermoso, malo, único, extraño, social, inteligente, sexy, amable, sentimental, malpensado, aseado, asmático.
12;1;12;2;casa, calle, parque, centro, plaza, trabajo, metro, carro, edificio, limpieza, escuela, secundaria, preparatoria, universidad, árbol, salón, iglesia, farol, autobús, carretera, puente, gente, hospital, motel, tecnología.
12;2;12;2;comerciante, enfermera, enfermero, albañil, mecánico, electricista, atletista, médico, profesor, ingeniero, secretario, abogado.
12;4;12;2;ingeniera, mecatrónica, abogado, doctor, profesor-matemáticas.
12;3;12;2;dos-pisos, alberca, jardín, mascota, trampolín, ps4, sala-juego, sala-estudio.
12;5;12;2;trabajar, estudiar, viajar, casarme, carretera, hijos, cuidado.
12;6;12;2;moreno, guapo, hermoso, precioso, trabajador, buena-persona, delgada, no-alchólico, cumplido, desordenado.
13;1;12;2;carro, edificio, casa, construcción, calle, camión, pobreza, lujo, semáforo, puente, migrante, tráfico, contaminación, policía, inseguridad, pavimentación, fraccionamiento, camioneta, moto, ube, monterrey, saltillo, parque, centro-comercial,  tienda, súpermercado, restaurante, hospital, farmacia, cdmx, escuela, orfanato, contaminación, basura, inundación.
13;2;12;2;contador, doctor, enfermera, modelo, youtuber, ingeniero, pediatra, maestro, psicóloga, veterinaria, diseñador, fotógrafo, bailarín, artista, influencer, chef, mesero, camarero, secretaria, encargado-limpieza, niñera, jardinero, presidente, diputado, senador, escritor, poetista, costurera, cantante, músico, químico.
13;4;12;2;contadora, mesera, ingeniera, psicóloga.
13;3;12;2;grande, alberca, cocina, patio, sala, cuarto, cochera, comedor, gimnasio, en-ciudad, sillón, cama, closet, sauna, estufa, minisplit, refrigerador, horno, alacena, lavandería, lavadora, secadora, silla, computadora, estudio, jardín, flores, mesa, florero, cuadros, pinturas, librero, candelabro, iluminada, amplia.
13;5;12;2;dibujar, pintar, cantar, bailar, hacer-ejercicio, caminar, cocinar, dormir, jugar, comer, origami, nadar, yoga, saltar-cuerda, comprar-ropa, salir-amigos, viajar, bucear.
13;6;12;2;cachetón, honesto, desconfiado, sincero, alto, güero, inteligente, bondadoso, leal, amistoso.
14;1;12;2;urbano, auto, camión, población, contaminación, población, contaminación, edificio, plaza, tienda, marca, comida-rápida, hospital, calle, pavimentación, tráfico, nombre-calle, centro-turístico, gobierno, anuncio, metro, motocicleta, estrés, construcción, universidad, centro-recreación, persona, niño.
14;2;12;2;medicina, ingeniero, química, farmacéutica, biología, escritor, pintor, obrero, maestro, física, matemático, psicología, paleontología, arqueología, escultor, deportista, financiero, locutor, entretenimiento, actuar, cantar, bailar, carpintero, policía, bombero.
14;4;12;2;biología, química, física, medicina, estudio-planta, estudio-animal, sustancia, naturaleza, investigación, expedición, viajar, ciencias-naturales, ecología.
14;3;12;2;departamento, grande, gatos, televisión, cocina, bañera, cama, cuadros, estudio-arte, plantas, sol, librero, libro, sartén, postre, licuadora, decoración-bote-leche, colorida, baño, flores, expresión, soledad, fiesta, elegancia, color, diversión, sillón, cojín.
14;5;12;2;pintar, escribir, organizar-fiesta, diseñar, construir, leer, crear, mascota, amigo, comida, cocinar, postre, plantar, cultivar, televisión, internet, comprar-ropa, vestirme-súper-bien, ir-cine, restaurante, cantar, bailar, ayudar.
14;6;12;2;creativo, pensativo, serio, amable, perseverante, terco, simpático, cariñoso, amorosa, colorido, eco-firendly, lista, elegante, buen-gusto, mente-abierta, luchar-equidad, amar, repartir-amor, apoyar, feminista, amistoso, paciente, agradecido, decorador, alternativo.
15;1;12;1;lámpara, calle, avenida, peatón, edificio, casa, carril, auto, camión, escuela, hospital, museo, aeropuerto, avión, zoológico, camellón, jardín, pavimento, asfalto, banqueta, centro-comercial, tienda, puente, distribuidor-vial, estadio, callejón, metro.
15;2;12;1;doctor, maestro, arquitecto, contador, abogado, ingeniero-civil, albañil, policía, bombero, guardia, guía, entregador, vendedor, coleccionista, banquero, entrenador, profesor, médico, piloto, chofer, jugador, artista, jardinero, tránsito, obrero, minero, agricultor.
15;4;12;1;doctor, abogado, arquitecto, coleccionista, profesor, investigador, científico.
15;3;12;1;ventana, grande, puerta, jardín, alberca, patio, comedor, cuarto, baños, cocina, cochera, piso, techo, amplia, cancha, aire-acondicionado, limpia, ordenada.
15;5;12;1;jugar-videojuegos, futbol, leer, dibujar, pintar, ordenar, ver-serie, ver-película, arreglar-casa, escribir, ver-video, redes-sociales.
15;6;12;1;bajo-estatura, alegre, optimista, trabajador, apasionado, bueno, flojo, dormilón.
16;1;12;1;árbol, edificio, calle, puente, semáforo, auto, tienda, refaccionaria, ventana, parque, escuela, lámpara, casa, luz, jardín.
16;2;12;1;maestra, arquitectura, criminología, psicóloga, enfermera, doctora, veterinaria, abogado, psquiatra, secretaria, director, director-cine.
16;4;12;1;maestra, secretaria, psicólogo, criminólogo, vendendora.
16;3;12;1;jardín, flor, grande, espacio, ventana, blanca, cuarto-grande, moderna, luz, cochera,  cocina, baño-grande, tina, girasol, ábrol, carro.
16;5;12;1;golf, voleibol, dibujar, escribir, leer, jugar, cuidar, televisión, comida, postre, hogar, limpiar, noticias.
16;6;12;1;feliz, alegre, fría, seca, enojona, sensible, cretiva, segura.
17;1;12;1;calle, semáforo, escuela, peatón, policía, casa, edificio, departamento, restaurante, hotel, librería, parque, centro-comercial, autobús, parada, puente, poste, árbol, súpermercado, negocio, calle, fraccionamiento, avenida, colonia, frutería.
17;2;12;1;maestro, doctor, policía, presidente, doctor, músico, futbolista, autor, escultor, actor, electricista, plomero, carpintero, cocinero, mesero, guía, técnico, chofer, ingeniero, abogado, juez, diseñador, científico.
17;4;12;1;futbolista, cocinero, guía-turístico, maestro.
17;3;12;1;amplia, cómoda, bien-ubicada, dos-plantas, cuarto-amplio, jardín, amueblada.
17;5;12;1; futbol, jugar-videojuegos, televisión, limpiar, gimnasio, tarea, salir-amigos, estudiar, dormir, ver-youtube, pasear-perro.
17;6;12;1;alegre, compartido, amigable, platicador, acomedido, observador, inquieto, impaciente, organizado, limpio, empático.
18;1;12;1;fábrica, casa, gasolina, llanta, aceite, ventana, carro, moto, autobús, zapato, contaminado, smog, diesel, ropa, hospital, persona, medicamento, enfermo, escuela, uniforme, basura, tierra, pavimentación, comida, animal, árbol, foco, bote.
18;2;12;1;veterinaria, animal, chef, arquitecto, maestra, ingeniera, electricidad, motor, albañil, psicología, doctorado, conserje, ayudante, comida, casa, foco, auto, medicamento, chofer, transito, policía.
18;4;12;1;chef, veterinaria, contadora, secretaria, ingeniera, mercadotecnia, doctora, turista, psicóloga, arquitecta, maestra, directora, empresaria, motor, conserje, soldadura, militar, policía.
18;3;12;1;grande, bonita, azul, foco, alberca, cuarto, baño, cocina, estufa, mesa, comida, refrigerador, cama, silla, sillón, televisión, ropero, plancha, producto-higiene, pasta, cepillo, aceite, buró, perfume, puerta, ventana, llave, cámara, pasto, árbol.
18;5;12;1;jugar, sobrino, convivir, hablar, familia, cocinar, dormir, salir, comer, correr, gimnasio, futbol, comprar, comida, ropa, zapatos, viajar, París, playa, pizza, taco, hamburguesa, gordita, coca, agua, pintar, pelo, estilista, casa.
18;6;12;1;ego, amable, humilde, respetuosa, cariñosa, ayudadora, buena, amistosa, no-reconcorosa, inteligente, estudiosa, luchona, fuerte, llorona, amorosa, paciente, tolerante, justa, recíproca, mutua, reconciliación.
19;1;12;1;cdmx, saltillo.
19;2;12;1;dentista, médico, abogado, cirujano, ingeniero, arquitecto, albañil, farmacéutico, ingeniero-químico, ingeniero-físico, maestro, actor, director, taxista, artista, biólogo, científico, astrónomo, comerciante, urólogo, ginecólogo, inspector, inventor, chef, mesero, contratista, jardinero.
19;4;12;1;médico, abogado científico, músico, maestro, cirujano, veterinario, presidente, secretario, arquitecto, ingeniero-químico, ingeniero-físico, actor, astrónomo, inventor, chef, biólogo.
19;3;12;1;azul, rojo, dos-ísos, alberca, chimenea, azulejo, plantas, escalera, baño, recámara, baños, patio, armario, cocina, lavadora, secadora, auto, despensa, mueble, adorno, garage, sótano, puerta, ventana, comedor, sillón, vela, instrumento, reloj, repisa.
19;5;12;1;músico, piano, guitarra, cocinar, estudiar, hablar, salir, viajar, investigar, enseñar, caminar, jugar, convivir, proyecto, correr, conocer, leer, invitar, practicar.
19;6;12;1;apuesto, inteligente, aplicado, poco-distraído, alegre, social, interesante, creativo, mujeriego, paciente, honesto, generoso, valiente.
20;1;12;1; gente, tienda, calle, auto, ruido, edificio, casa, taxi, persona, actividad, restaurante, recreación, dinero, parque, trabajo, empresa.
20;2;12;1;maestro, profesor, entrenador, albañil, doctor, arquitecto, modelo, actriz, actor, artista, cantante, bailador, empresario, masajista, chacha, ingeniero, corredor, atleta, futbolista, basquetbolista, tenista, golfista, boxeador, rapero, músico, pianista, beisbolista, policía, bombero, veterinario, mesero.
20;4;12;1;ingeniero, biologista, futbolista, actor, médico, atleta, mesero, explorador.
20;3;12;1;un-piso, teles, cocina, grande, alberca, gimnasio, jardín, ventana, baños, sillón, comida, videojuegos, cama, bañera, mueble, perro, auto, brincolín, columpio, pasto, tobogán.
20;5;12;1;videojuegos, perro, auto, película, cocinar, ejercicio, fiesta, televisión, plaza, parque-diversiones, viajar, conocer.
20;6;12;1;simpático, alegre, paciente, risueño, hablador, deportista, amigable, fiestero, comelón, celoso, intolerante, divertido.
21;1;13;1;contaminación, fraude, corrupción, pelea, auto, edificio, calle, empresario, ladrón, policía, democracia, semáforo, persona, alcalde, escuela, dentro-recreativo, restaurante, árbol, estadio, electricidad, agua, museo, tienda, departamento, motocicleta, migración, dinero, celular.
21;2;13;1;ingeniero, actor, policía, bombero, médico, cirujano, enfermero, gobernante, jefe, químico, profesor, matemático, filósofo, psiquiatra, psicólogo, dentista, traumatólogo, director, entrenador, empacador, trailero, militar, marino, salvavidas, deportista, diseñador.
21;4;13;1;ingeniero, doctor, arquitecto, gobernador, presidente, empezar-costco, policía, militar, profesor, entrenador.
21;3;13;1;amplia, cerca-ciudad, cama-suave, patio, carro-padre, alberca, mueble-madera, pc, silla-gamer, tele-4k-fullhd, iphone, dos-plantas, terraza, baño-moderno.
21;5;13;1;tiempo-familia, deporte, viajar, nadar, comer, nada, jugar-hijos, amigo, comer-con-amigo, dormir, asuntos-personales, televisión, celular, minecraft, camisa-real-madrid.
21;6;13;1;risueño, feliz, tranquilo, ansioso, trabajador, responsable, comprometido, amigable, social, buen-amigo, como-mucho, duermo-mucho, estudioso, deportista.
22;1;12;1; monumento, calle, museo, carretera, casa, restaurante, carro, centro-público, templo, persona, trabajo, empresa, escuela, institución, saltillo, puente, centro-comercial, monterrey.
22;2;12;1;farmacéutico, ingeniero, arquitecto, médico, doctor, policía, dentista, veterinario, diseñador, albañil, carpintero, reportero, barrendero, cirujano, química, tecnológica, neurólogo, maestro, psicólogo, instructor.
22;4;12;1; médico, cirujano, futbolista, ingeniero, licenciado, psicólogo.
22;3;12;1; grande, lujosa, cómoda, amplia, alberca, moderna, satisfactoria, completa, con-cine, cuarto, baño, patio, luminosa, con-yegua, en-londres, climatizada, cocina, cuarto-limpieza, cochera, árbol, pasto, diseño, arreglo, cuarto, ventana.
22;5;12;1;gimnasio, futbol, jugar-videojuegos, juego-de-mesa, amigos, salir, fiesta, ejercicio, batería, guitarra, escuchar-música, ver-series, ir-cine, escuchar-fms.
22;6;12;1; alto, distraído, divertido, gracioso, travieso, desordenado, bueno, atractivo, buena-onda, juguetón, curioso, caballeroso, amistoso, solitario.
23;1;12;1;grande, reconocida, museo, recorrido, cultura, arte, edificio, carro, calle, vialidad, puente, escuela, persona, iglesia, súpermercado, transporte, comida, parque, plaza.
23;2;12;1;médico, doctorado, ingeniero, arquitecto, abogado, contador, maestro, electricista, piloto, dentista, oftalmólogo, oculista, bombero, cardiólogo, cirujano, enfermero, diseñador, sociólogo, comunicólogo, sistemático.
23;4;12;1;doctor, oftalmólogo, químico, comunicólogo, conferencista, futbolista, electrónica.
23;3;12;1;grande, mascota, alberca, árbol, balcón, gran-cocina, área-recreación, biblioteca.
23;5;12;1;videojuegos, futbol, jugar, leer, estudiar, convivir, música, dibujar, cocinar, escribir.
23;6;12;1;puntual, ordenando, amigable, amistoso, convivo, hago-reír, río, me-preocupo, centrado.
24;1;12;1; contaminación, auto, carretera, museo, escuela, tienda, sociedad, impuesto, parque, dócil, casa, festejación, religión, saltillo, inseguridad, seguridad, trabajo, noticia.
24;2;12;1; biólogo, biólogo-marino, ingeniero-mecánico, chef, policía, ambulancia, médico, dentista, militar, maestro, científico, licenciado, abogado, matemático, electricista.
24;4;12;1; ingeniero-mecánico, maestro-tecnología, biólogo.
24;3;12;1;caluroso, frío, pequeño, grande, alto, bonito, feo, vieja, nuevo, jardín, patio-trasero, silla, mesa, cocina, baño, comedor, sala, cama, cobija, espejo, luz, juego, gas, vecino, televisión, ropa.
24;5;12;1; pasear-perro, jugar-videojuego, tocar-música, explorar-bosque, dibujar, amigos, rompecabezas, nadar, familia, viajar.
24;6;12;1; alto, hiperactivo, listo, no-tan-listo, flaco, forma-de-pensar, humor, lenguaje, creativo, rápido, perezoso, fuerte, débil, perfeccionista, amigable, tímido, nervioso.
25;1;13;1; grande, pequeño, contaminada, limpio, inseguridad, seguridad, injusticia, justicia, avanzada, feliz, triste, pobreza, riqueza, miedo, organizada, edificio, casa, escuela, oficina, institución, restaurante, sindicato.
25;2;13;1;arquitecto, biólogo, científico, matemático, historiador, paleontólogo, maestro, doctor, astrónomo, constructor.
25;4;13;1; actor, pintor, paleontólogo, astrónomo, historiador.
25;3;13;1; grande, dos-plantas, patio, mueble, estudio, escalera, baños, banca, ventana, cuarto
25;5;13;1; leer, origami, película, cocinar, andar-bici, caminar, pasear-perro.
25;6;13;1;alegre, peleonero, juguetón, energético, serio, platicador, enojón, flojo.
26;1;12;1;casa, hospital, luz, saltillo, arteaga, zacatecas, trabajo, carro, aeropuerto, lugar, camión, taxi, uber, campo-tierra, centro-recreativo, golf, canchas-futbol, estadio, teatro, cine, zoológico, museo, servicio-salud, escuela, población, tienda, restaurante, calle, semáforo, parque.
26;2;12;1;arquitecto, derecho, medicina, psicólogo, neurocirujano, negocio, cirujano, abogado, relaciones, comercio, contador, servidor-público, política, leyes, doctorado, química, física, científico, maestro, entrenador, futbolista, administrador, comercio-internacional, fotógrafo, actor, pintor, artista, plomero, fundidor, empresario, enfermera, anestesiólogo.
26;4;12;1; abogado, futbolista, director, técnico-futbol, CDT, dueño-equipo-futbol, dueño equipo-americano.
